2026-07-26 21:23:31 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:31 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:31 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:35 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=dd9207ce-92fc-4efb-8aef-9dbffdcf95f8
2026-07-26 21:23:35 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:23:36 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212335_935783.png
2026-07-26 21:23:36 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_increase_product_quantity_20260726_212335_935783.png
2026-07-26 21:23:37 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=dd9207ce-92fc-4efb-8aef-9dbffdcf95f8
2026-07-26 21:23:37 | INFO     | conftest | Test session finished
2026-07-26 21:23:37 | INFO     | conftest | ======================================================================
2026-07-26 21:23:37 | INFO     | conftest | ======================================================================
2026-07-26 21:23:37 | INFO     | conftest | Starting new test session
2026-07-26 21:23:37 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:37 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:37 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:40 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=bea976df-0f61-4235-93bd-8bf0b075413b
2026-07-26 21:23:46 | ERROR    | core.waits.wait_utils | Element was not visible: ('accessibility id', 'products screen')
2026-07-26 21:23:47 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_products_screen_loads_20260726_212346_553474.png
2026-07-26 21:23:47 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_products_screen_loads_20260726_212346_553474.png
2026-07-26 21:23:47 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=bea976df-0f61-4235-93bd-8bf0b075413b
2026-07-26 21:23:47 | INFO     | conftest | Test session finished
2026-07-26 21:23:47 | INFO     | conftest | ======================================================================
2026-07-26 21:23:47 | INFO     | conftest | ======================================================================
2026-07-26 21:23:47 | INFO     | conftest | Starting new test session
2026-07-26 21:23:47 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:23:47 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:23:47 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:23:51 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=b8489a8e-7836-4a0b-9548-45025aa268b8
2026-07-26 21:24:06 | ERROR    | core.waits.wait_utils | Element was not visible: ('-android uiautomator', 'new UiSelector().text("Products")')
2026-07-26 21:24:07 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_products_title_20260726_212406_718992.png
2026-07-26 21:24:07 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_products_title_20260726_212406_718992.png
2026-07-26 21:24:07 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=b8489a8e-7836-4a0b-9548-45025aa268b8
2026-07-26 21:24:07 | INFO     | conftest | Test session finished
2026-07-26 21:24:07 | INFO     | conftest | ======================================================================
2026-07-26 21:24:07 | INFO     | conftest | ======================================================================
2026-07-26 21:24:07 | INFO     | conftest | Starting new test session
2026-07-26 21:24:07 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:24:07 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:24:07 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:24:11 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=e8ac025d-6721-4c50-acdc-6b8d1697b40c
2026-07-26 21:24:12 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=e8ac025d-6721-4c50-acdc-6b8d1697b40c
2026-07-26 21:24:12 | INFO     | conftest | Test session finished
2026-07-26 21:24:12 | INFO     | conftest | ======================================================================
2026-07-26 21:28:44 | INFO     | conftest | ======================================================================
2026-07-26 21:28:44 | INFO     | conftest | Starting new test session
2026-07-26 21:28:44 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:28:44 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:28:44 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:28:50 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=4004cf69-3799-47d4-846a-2244d1db1e96
2026-07-26 21:28:50 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:28:52 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=4004cf69-3799-47d4-846a-2244d1db1e96
2026-07-26 21:28:52 | INFO     | conftest | Test session finished
2026-07-26 21:28:52 | INFO     | conftest | ======================================================================
2026-07-26 21:28:52 | INFO     | conftest | ======================================================================
2026-07-26 21:28:52 | INFO     | conftest | Starting new test session
2026-07-26 21:28:52 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:28:52 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:28:52 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:28:56 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=7ce5dcc9-02aa-4472-9574-f5e26e22165c
2026-07-26 21:28:56 | INFO     | ProductsPage | Clicking element: ('-android uiautomator', 'new UiSelector().text("Sauce Labs Backpack")')
2026-07-26 21:28:57 | INFO     | core.reporting.screenshot_manager | Screenshot saved: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212856_932875.png
2026-07-26 21:28:57 | ERROR    | conftest | Failure screenshot captured: C:\Users\satye\OneDrive\Desktop\Android7\AndroidAutomationFramework\screenshots\test_default_quantity_is_one_20260726_212856_932875.png
2026-07-26 21:28:58 | INFO     | core.driver.driver_factory | Appium session closed. Session ID=7ce5dcc9-02aa-4472-9574-f5e26e22165c
2026-07-26 21:28:58 | INFO     | conftest | Test session finished
2026-07-26 21:28:58 | INFO     | conftest | ======================================================================
2026-07-26 21:28:58 | INFO     | conftest | ======================================================================
2026-07-26 21:28:58 | INFO     | conftest | Starting new test session
2026-07-26 21:28:58 | INFO     | core.driver.driver_factory | Creating Android Appium session.
2026-07-26 21:28:58 | INFO     | core.driver.driver_factory | Device UDID: X8E6BQOVMJORTG89
2026-07-26 21:28:58 | INFO     | core.driver.driver_factory | Application package: com.saucelabs.mydemoapp.rn
2026-07-26 21:29:01 | INFO     | core.driver.driver_factory | Appium session created successfully. Session ID=fa8241ba-91dc-4da3-bb39-d1918620e38e
